"Title","Start","Description","lat","long"
"Battle of Dennewitz",1813-09-06,"The Battle of Dennewitz (German: Schlacht von Dennewitz) took place on 6 September 1813 between the forces of the First French Empire and an army of Prussians and Russians of the Sixth Coalition.  It occurred in Dennewitz, a village of Germany, in the Prussian province of Brandenburg, near Jüterbog, 40 km. S.W. from Berlin.",51.9667,13.0
"Siege of Burgos",1812-10-21,"At the Siege of Burgos, from 19 September to 21 October 1812, the Anglo-Portuguese Army led by General Arthur Wellesley, Marquess of Wellington tried to capture the castle of Burgos from its French garrison under the command of General of Brigade Jean-Louis Dubreton. The French repulsed every attempt to seize the fortress, resulting in one of Wellington's rare withdrawals, as he went on to defeat the army sent to flank him at the Lines Of Torres Vedras, pursued them and then returned to complete the siege of Burgos and capture the city. The siege took place during the Peninsular War, part of the Napoleonic Wars. Burgos is located about 210 kilometres (130 mi) north of Madrid.After crushing Marshal Auguste Marmont's French army at the Battle of Salamanca in July 1812, Wellington exploited his great victory by advancing on Madrid. After the disaster, King Joseph Bonaparte and Marshal Jean-Baptiste Jourdan retreated to Valencia where they sought refuge with Marshal Louis Gabriel Suchet. The magnitude of Wellington's triumph also compelled Marshal Nicolas Soult to evacuate Andalucia in the south and withdraw to Valencia. The combined armies of Soult and Joseph soon posed a serious menace to Wellington's grasp on Madrid. The recently defeated French army in the north also built up its strength. Wellington made plans to counter the southern French threat while hoping to quickly capture the strategically important Burgos position, which was an important French supply base.Instead, Dubreton led a masterful defense, thwarting Wellington's assaults time after time. The British commander's hopes were blasted when his attempts to contain the twin French counteroffensives failed. With large French relief armies approaching Burgos from the northeast and Madrid from the southeast, the British commander withdrew to the west, abandoning large areas of Spain that had been recently liberated. That fall the French lost an opportunity to defeat Wellington's army. Nevertheless, during the withdrawal to Portugal the Anglo-Portuguese army lost many men to pursuing French cavalry and starvation.",42.35,-3.7
"The Battle of Langnes",1814-08-09,"The Battle of Langnes, or the Battle of Langnes Entrenchment, was a battle fought between Norway and Sweden as a part of the Swedish-Norwegian War of 1814. The battle, even as it ended inconclusively, served as a tactical victory to the Norwegians since they now could avoid an unconditional surrender to the Swedish.",59.609,11.129
"Battle of Neumarkt-Sankt Veit",1809-04-24,"The Battle of Neumarkt-Sankt Veit on 24 April 1809 saw a Franco-Bavarian force led by Marshal Jean-Baptiste Bessières face an Austrian Empire army commanded by Johann von Hiller. Hiller's numerically superior force won a victory over the Allied troops, forcing Bessières to retreat to the west. Neumarkt-Sankt Veit is located ten kilometers north of Mühldorf and 33 kilometers southest of Landshut in Bavaria.On 10 April 1809, Archduke Charles, Duke of Teschen's surprise invasion of the Kingdom of Bavaria put the Grande Armée of Emperor Napoleon I of France at a disadvantage. On 19 April, Charles failed to take advantage of his opportunities and Napoleon struck back with savage force against the Austrian left wing under Hiller. After battles on 20 and 21 April, Hiller's troops were driven into a headlong retreat to the southeast.Having temporarily disposed of Hiller, Napoleon turned north with his main army against Archduke Charles. On 22 and 23 April, the Franco-Germans defeated Charles' army and forced it to withdraw to the north bank of the Danube. Meanwhile, Napoleon sent Bessières to pursue the Austrian left wing with minor forces. Not knowing that Charles had been defeated, Hiller turned back upon his pursuer, defeating Bessières near Neumarkt-Sankt Veit. Once he found that he was alone on the south bank facing Napoleon's main army, Hiller retreated rapidly to the east in the direction of Vienna.",48.3667,12.5
"Action of 21 April 1806",1806-04-21,"The Action of 21 April 1806 was a minor engagement between a French frigate and British forces off South Africa during the Napoleonic Wars. The Île Bonaparte and Île de France constituted French outposts in the Indian Ocean, from which privateers and frigate squadrons could engage in commerce raiding and disrupt British shipping. After encountering a strongly escorted British convoy, the 40-gun Cannonière attempted to flee, but was rejoined by the 74-gun HMS Tremendous. In the ensuing battle, Captain Bourayne displayed superior sailmanship and managed to fend off his much strong opponent by a combination of manoeuvers that rendered the batteries of Tremendous ineffective, and threatened her of sustaining raking fire. The French frigate thus managed to evade and escape.",-30.75,30.0833
"Second Siege of Badajoz (1811)",0019-05-12,"The Second Siege of Badajoz (22 April – 12 May and 18 May – 10 June, 1811) saw an Anglo-Portuguese Army, first led by William Carr Beresford and later commanded by Arthur Wellesley, Earl of Wellington, besiege a French garrison under Armand Philippon at Badajoz, Spain. After failing to force a surrender, Wellington withdrew his army when the French mounted a successful relief effort by combining the armies of Marshals Nicolas Soult and Auguste Marmont. The action was fought during the Peninsular War, part of the Napoleonic Wars. Badajoz is located 6 kilometres (4 mi) from the Portuguese border on the Guadiana River in western Spain.While Wellington faced Marshal André Masséna's Army of Portugal in the north, his lieutenant Beresford attempted to capture French-held Badajoz in the south. Beresford invested the city in April but Philippon's garrison successfully fended off his attacks. The siege was briefly lifted while the Battle of Albuera was fought on 16 May. Though both sides suffered horrific casualties, Beresford emerged the victor and Soult retreated to the east. Wellington brought reinforcements from the north and resumed the siege, but progress was slow in the face of spirited French resistance. Meanwhile, Masséna's replacement Marmont brought large forces south to join Soult. The British commander lifted the siege after being menaced by the numerically superior French army led by Soult and Marmont.",38.8833,-6.96667
"Siege of Gaeta",1806-07-18,"The Siege of Gaeta (26 February - 18 July 1806) saw the fortress city of Gaeta and its Neapolitan garrison under Louis of Hesse-Philippsthal besieged by an Imperial French corps led by André Masséna. After a prolonged defense in which Hesse was badly wounded, Gaeta surrendered and its garrison was granted generous terms by Masséna.The 1806 Invasion of Naples by Napoleon's forces was provoked when King Ferdinand I of the Two Sicilies joined the Third Coalition against Imperial France. The Kingdom of Naples was rapidly overrun by Imperial soldiers, but Hesse stubbornly held out at Gaeta. The garrison put up such fierce resistance that a large part of Masséna's Army of Naples was tied up in the siege for nearly five months. This prevented Masséna from sending reinforcements to quell an uprising that had started in Calabria as well as allowing the British to land an expeditionary force and score a victory at the Battle of Maida. However, because the British failed to relieve the garrison of Gaeta, the city was finally captured in mid-July after French artillery smashed gaps in the city's defences.",41.2108,13.5714
"Battle of Montevideo",1807-02-03,"The Battle of Montevideo was a battle between the British and Spanish Empires during the Napoleonic Wars, in which British forces captured the city of Montevideo. It formed part of the British invasions of the River Plate. Locally, it is remembered as the Siege of Montevideo (Spanish: Sitio de Montevideo).",-34.91,-56.2033
"Action of 26 July 1806",1806-07-26,"The Action of 26 July 1806 was a minor naval engagement of the Napoleonic Wars fought off the southern coast of the island of Celebes in the Dutch East Indies. During the battle, a small British squadron attacked and defeated a Dutch force defending a valuable convoy, which was also captured. The British force—consisting of the frigate HMS Greyhound and brig-sloop HMS Harrier under the command of Captain Edward Elphinstone—was initially wary of the Dutch, mistaking the Dutch East Indiaman merchant ship Victoria for a ship of the line. Closer observation revealed the identity of the Dutch vessels the following day and Elphinstone led his frigate against the leading Dutch warship Pallas while Harrier engaged the merchant vessels and forced them to surrender. Only the corvette William escaped, taking no part in the engagement.The battle was the first in a series of actions by the Royal Navy squadron based at Madras with the intention of eliminating the Dutch squadron maintained at Java. Greyhound had been sent to the Java Sea and the Molucca Islands to reconnoitre the Dutch ports in preparation for a raid on Java by a larger force under Rear-Admiral Sir Edward Pellew later in the year. Elphinstone's success was followed by a second frigate action by Captain Peter Rainier in which the Dutch ship Maria Riggersbergen was captured. In November 1806, Admiral Pellew led the main body of his squadron against the capital of the Dutch East Indies at Batavia and a year later eliminated the last vessels of the Dutch East Indies squadron at Griessie.",-5.66667,120.167
"Siege of Almeida 1810",1810-08-27,"In the Siege of Almeida, the French corps of Marshal Michel Ney captured the border fortress from Brigadier General William Cox's Portuguese garrison. This action was fought in the summer of 1810 during the Peninsular War portion of the Napoleonic Wars. Almeida is located in eastern Portugal, near the border with Spain.",40.7261,-6.9061
"First Siege of Zaragoza",1808-08-14,"The First Siege of Zaragoza (also called Saragossa) was a bloody struggle in the Peninsular War (1807–1814). A French army under General Lefebvre-Desnouettes and subsequently commanded by General Jean-Antoine Verdier besieged, repeatedly stormed, and was repulsed from the Spanish city of Zaragoza in the summer of 1808.",41.65,0.88333
"Battle of Mir (1812)",1812-07-10,"The Battle of Mir took place on 9 and 10 July 1812 during Napoleon's invasion of Russia. Three Polish Lancers divisions battled against Russian cavalry, ending in the first major Russian victory in the French invasion of Russia.Russian general Matvei Platov had eight Cossack regiments and two Don batteries deployed south of the village of Mir, when one brigade of the Polish Fourth Light Cavalry attacked his advance posts, numbering about 100 men. These advance posts had the dual job of both observation and sentry duty, and to entice the enemy to attack; ambushes of a hundred men each were set up farther down the road to Mir, on either side of it. The Polish general Alexander Rosniecki's forces clashed with Russian Alexander Vasilchikov's cavalry, resulting in hand-to-hand combat with fairly even losses.  Followed by Uhlans, they swept through the village, attacking Platov's main force. A third Polish brigade attempting to join the fight was encircled and broken by Cossacks, after which the entire Polish force gave ground, driven back with the aid of Russian Hussars. After the arrival of Vasilchikov's Akhtyrka Hussars, Dragoons, and other reinforcements, the battle raged for six hours, shifting to the nearby village of Simiakovo. Platov defeated the enemy there, and moved on to Mir, where he inflicted further losses on the enemy before tactically withdrawing. A complete rout was only averted by Tyszkiewicz's brigade, which covered the Polish retreat.The town of Mir and fort ruins were used as a headquarters by Jérôme Bonaparte, until he decided or had to leave the army, after a quarrel with his brother on 6 August 1812. After retreating, the Mir Castle was destroyed with gunpowder.",53.45,26.4667
"Action of 26 September 1805",1805-09-26,"Allemand's expedition of 1805, often referred to as the Escadre invisible (invisible squadron) in French sources, was an important French naval expedition during the Napoleonic Wars, which formed a major diversion to the ongoing Trafalgar Campaign in the Atlantic Ocean. With the French Mediterranean Fleet at sea, Emperor Napoleon I hoped to unite it with the French Atlantic Fleet and together form a force powerful enough to temporarily displace the British Royal Navy Channel Fleet for long enough to allow an invasion force to cross the English Channel and land in Britain. In support of this plan, the French squadron based at Rochefort put to sea in July 1805, initially with the intention that they would join the Atlantic Fleet from Brest. When this fleet failed to put to sea, the Rochefort squadron, under Contre-Admiral Zacharie Allemand, went on an extended raiding cruise across the Atlantic, both to intercept British trade left lightly defended by the concentration of British forces in European waters and with the intention of eventually combining with the French Mediterranean Fleet then blockaded in Spanish harbours.On 25 September, Allemand achieved a major success when his squadron, while waiting for a convoy from the Leeward Islands, encountered a seven ship convoy from the island of Saint Helena. The convoy's commander, Captain Daniel Woodriff in the fourth rate HMS Calcutta, sought to interpose his ship between the French squadron and his convoy and was captured after a fierce battle. All except one of convoy escaped, and by deliberately drawing the French away from his own convoy's direction, he had saved the Leewards Islands convoy from attack as well. After the battle, Allemand was forced to conduct repairs at Tenerife, sailing again on 17 October, four days before the French Mediterranean Fleet was destroyed at the Battle of Trafalgar. With the planned invasion impossible, Allemand began commerce raiding in the Eastern Atlantic, capturing 43 merchant ships during his cruise and successfully disrupting the British blockade of Cadiz. This had an unintended but significant effect on the Atlantic campaign of 1806, resulting eventually in the Battle of San Domingo in February 1806. Allemand returned to Rochefort on 23 December, having not lost a single ship during the expedition.",49.5,-9.0
"Battle of Benavente",1808-12-29,"The Battle of Benavente (29 December 1808) was a cavalry clash in which the British cavalry of Lord Paget defeated the elite Chasseurs à cheval of the French Imperial Guard during the Corunna Campaign of the Peninsular War. The French chasseurs were broken and forced into the River Esla; their commanding officer, General Lefebvre-Desnouettes, was captured. The action was the first major incident in the British army's harrowing retreat to the coast and ultimate evacuation by sea.",42.0031,-5.6742
"Siege of Danzig",1813-12-29,"The Siege of Danzig was a siege of the city of Danzig during the War of the Sixth Coalition by Russian and Prussian forces against Jean Rapp's permanent French garrison, which had been augmented by soldiers from the Grande Armée retreating from its Russian campaign. The garrison included two crack divisions under Étienne Heudelet de Bierre and Charles Louis Dieudonné Grandjean plus whole units and stragglers that had lost contact with their units, all with their health and morale both weakened and most of their equipment lost and carrying their wounded. The siege was begun by cossacks under hetman Matvei Platov, then was continued mainly by infantry, mainly militiamen and irregulars. It lasted from January to December 1813 and ended in a French surrender to Coalition forces.The Treaty of Tilsit of 1807 had made the city a Free City nominally under Prussian control. It was sited at the mouth of the River Vistula and along the coast of the Baltic Sea and then had 60,000 inhabitants. It was also a major supply depot for Napoleon's force, with large quantities of food, munitions, forage, weapons, clothing and ammunition, and needed to be held by his forces to keep the Prussians neutral and avoid them defecting to the coalition (as they later did). He was also attempting to re-group an army in his rear in order to confront the Coalition, and so needed to guard the line of the Vistula by garrisoning Danzig, Thorn and Warsaw.",54.3667,18.6333
"Siege of Danzig",1813-12-29,"The Siege of Danzig was a siege of the city of Danzig during the War of the Sixth Coalition by Russian and Prussian forces against Jean Rapp's permanent French garrison, which had been augmented by soldiers from the Grande Armée retreating from its Russian campaign. The garrison included two crack divisions under Étienne Heudelet de Bierre and Charles Louis Dieudonné Grandjean plus whole units and stragglers that had lost contact with their units, all with their health and morale both weakened and most of their equipment lost and carrying their wounded. The siege was begun by cossacks under hetman Matvei Platov, then was continued mainly by infantry, mainly militiamen and irregulars. It lasted from January to December 1813 and ended in a French surrender to Coalition forces.The Treaty of Tilsit of 1807 had made the city a Free City nominally under Prussian control. It was sited at the mouth of the River Vistula and along the coast of the Baltic Sea and then had 60,000 inhabitants. It was also a major supply depot for Napoleon's force, with large quantities of food, munitions, forage, weapons, clothing and ammunition, and needed to be held by his forces to keep the Prussians neutral and avoid them defecting to the coalition (as they later did). He was also attempting to re-group an army in his rear in order to confront the Coalition, and so needed to guard the line of the Vistula by garrisoning Danzig, Thorn and Warsaw.",54.3667,18.6333
"Battle of Trafalgar",1805-10-21,"The Battle of Trafalgar (21 October 1805) was a naval engagement fought by the Royal Navy against the combined fleets of the French and Spanish Navies, during the War of the Third Coalition (August–December 1805) of the Napoleonic Wars (1803–1815).The battle was the most decisive naval victory of the war. Twenty-seven British ships of the line led by Admiral Lord Nelson aboard HMS Victory defeated thirty-three French and Spanish ships of the line under French Admiral Pierre-Charles Villeneuve off the southwest coast of Spain, just west of Cape Trafalgar, in Caños de Meca. The Franco-Spanish fleet lost twenty-two ships, without a single British vessel being lost.The British victory spectacularly confirmed the naval supremacy that Britain had established during the eighteenth century and was achieved in part through Nelson's departure from the prevailing naval tactical orthodoxy, which involved engaging an enemy fleet in a single line of battle parallel to the enemy to facilitate signalling in battle and disengagement, and to maximise fields of fire and target areas. Nelson instead divided his smaller force into two columns directed perpendicularly against the larger enemy fleet, with decisive results.Nelson was mortally wounded during the battle, becoming one of Britain's greatest war heroes. The commander of the joint French and Spanish forces, Admiral Villeneuve, was captured along with his ship Bucentaure. Spanish Admiral Federico Gravina escaped with the remnant of the fleet and succumbed months later to wounds sustained during the battle.",36.293,-6.25534
"Battle of Tudela",1808-11-23,"The Battle of Tudela (23 November 1808) saw an Imperial French army led by Marshal Jean Lannes attack a Spanish army under General Castaños. The battle resulted in the complete victory of the Imperial forces over their adversaries. The combat occurred near Tudela in Navarre, Spain during the Peninsular War, part of a wider conflict known as the Napoleonic Wars. Spanish casualties were estimated to be about 4,000 dead and 3,000 prisoners out of a total force of 33,000. The French and Poles lost no more than 600 dead and wounded out of a total of 30,000. This is one of the battles whose name was engraved on the Arc de Triomphe in Paris.",42.0549,-1.61633
"Battle of Vimeiro",1808-08-21,"In the Battle of Vimeiro (August 21, 1808) the British under General Arthur Wellesley (later known as the Duke of Wellington) defeated the French under Major-General Jean-Andoche Junot near the village of Vimeiro (Portuguese pronunciation: [viˈmɐjɾu]), near Lisbon, Portugal during the Peninsular War.  This battle put an end to the first French invasion of Portugal.Four days after the Battle of Roliça, Wellesley's army  was attacked by a French army under General Junot near the village of Vimeiro. The battle began as a battle of manoeuvre, with French troops attempting to outflank the British left, but Wellesley was able to redeploy his army to face the assault. Meanwhile, Junot sent in two central columns but these were forced back by sustained volleys from troops in line. Soon afterwards, the flanking attack was beaten off and Junot retreated towards Torres Vedras having lost 2,000 men and 13 cannon, compared to 700 Anglo-Portuguese losses. No pursuit was attempted because Wellesley was superseded by Sir Harry Burrard and then Sir Hew Dalrymple (one having arrived during the battle, the second soon after).",39.175,-9.31667
"Battle of Bautzen",1813-05-21,"For the World War II battle, see Battle of Bautzen (1945)In the Battle of Bautzen (20–21 May 1813) a combined Russian/Prussian army was pushed back by Napoleon, but escaped destruction, some sources claim, because Michel Ney failed to block their retreat. The Prussians under Count Gebhard von Blücher and Russians under Prince Peter Wittgenstein, retreating after their defeat at Lützen were attacked by French forces under Napoleon I, Emperor of the French.",51.1833,14.4167
"Battle of Brienne",1814-01-29,"The Battle of Brienne was fought on January 29, 1814, and resulted in the victory of Emperor Napoleon I's French forces over the Russian and Prussian forces commanded by the Prussian Generalfeldmarschall Prince von Blücher.The battle followed on the heels of reverses suffered by the French in both 1812, which had gutted the strength of the French Army, and 1813, where they fought against the Sixth Coalition. The Sixth Coalition had intentions of deposing Napoleon, dissolving the First French Empire and restoring the Bourbon monarchy to France.",48.2542,4.6825
"Battle of Ciudad Real",1809-03-27,"The Battle of Ciudad Real was fought on March 27, 1809, and resulted in a French victory under General Sebastiani against the Spanish under General Conde de Cartojal.French 4th Corps (with attached Polish division under general Valance) had to cross the bridge over the Guadiana River which was defended by the Spanish corps of Count Urbino Cartaojal. Polish lancers of the Legion of the Vistula under colonel Jan Konopka charged through the bridge taking it by surprise, then outflanked Spanish infantry and attacked it from behind as the main French and Polish forces crossed the bridge, and attacked the Spanish front lines.The battle was over when undisciplined Spanish soldiers dispersed, and began to retreat in the direction of Santa Cruz.Józef Rudnicki, adiutant-major of the 4th Infantry Regiment of the Legion, described the battle in his diaries (spelling according to the original):""as soon as the French regiments of the 4th Corps met our division, we rushed immediately toward the Consiegra and Cuidat-Real, before of which town we found the Spanish corps, waiting for us on good positions. We were outnumbered, but thank to the rational orders of the general Sebastjani, in some od four hours on 27 March 1809 the Spaniards were defeated and dispersed. They were retreating in chaos toward Almagro, where the Order of Calatrava has its home, and toward the S-ta Cruse, and even further, into the Sierramorena Mountains.""The Spanish corps lost some 2000 men killed or wounded and many more were taken prisoner. After the battle the count of Cartojal was deprived of command for incompetency, and replaced by general Venegas, hero of the Spanish War of Independence, and later the viceroy of New Spain.",38.9708,-4.00694
"Battle of Dresden",1813-08-27,"The Battle of Dresden was fought on 26–27 August 1813 around Dresden, Germany,  resulting in a French victory under Napoleon against forces of the Sixth Coalition of Austrians, Russians and Prussians under Field Marshal Schwartzenberg. However, Napoleon's victory was not as complete as it could have been. Substantial pursuit was not undertaken after the battle, and the flanking corps was surrounded and forced to surrender a few days later at the Battle of Kulm.",51.0333,13.7333
"Battle of Espinoza",1808-11-11,"The Battle of Espinosa de los Monteros was a battle of the Napoleonic Wars, fought on 10 and 11 November 1808 at the township of Espinosa de los Monteros in the Cantabrian Mountains. It resulted in a French victory under General Victor against Lieutenant General Joaquín Blake's Army of Galicia.",43.0667,-3.5333
"Battle of Eylau",1807-02-08,"The Battle of Eylau or Battle of Preussisch-Eylau, 7 and 8 February 1807, was a bloody and inconclusive battle between Napoléon's Grande Armée and a Russian Empire army under Levin August, Count von Bennigsen near the town of Preußisch Eylau in East Prussia. Late in the battle, the Russians received a timely reinforcement from a Prussian division. The town is now called Bagrationovsk and it is a part of Kaliningrad Oblast, Russia. The engagement was fought during the War of the Fourth Coalition, part of the Napoleonic Wars. Of all Napoleonic battles, this is considered to be the most uncertain and mysterious for several reasons — mainly the strength of Murat's reserve cavalry.Napoleon's armies previously smashed the army of the Austrian Empire in the Ulm Campaign and the combined Austrian and Russian armies at the Battle of Austerlitz on 2 December 1805. Austerlitz forced the Austrians to sue for peace and their Russian allies to withdraw from the conflict. On 14 October 1806, Napoleon crushed the armies of the Kingdom of Prussia at the Battle of Jena-Auerstedt. After a rapid pursuit, the broken pieces of the Prussian army were destroyed at the Battles of Prenzlau and Lübeck and in a series of capitulations at Erfurt, Pasewalk, Stettin, Magdeburg, and Hamelin. Eylau was the first serious check to the Grande Armée and the myth of Napoleon's invincibility was badly shaken. However, later the dramatic defeat of the Russian forces at Friedland allowed Napoleon to march towards Moscow almost uncontested.In late January, Bennigsen's Russian army went on the offensive in East Prussia, pushing far to the west. Napoleon reacted by mounting a counteroffensive to the north, hoping to prevent their retreat to the east. After his cossacks captured a copy of Napoleon's orders, Bennigsen rapidly withdrew to the northeast to avoid being cut off. The French pursued for several days and found the Russians drawn up for battle at Eylau. In a vicious evening clash, the French captured the village with heavy losses on both sides. The following day brought even more serious fighting. Early in the battle, a frontal attack by Napoleon failed with catastrophic losses. To retrieve the situation, the emperor launched a massed cavalry charge against the Russians. This bought enough time for the French right wing to throw its weight into the contest. Soon, the Russian left wing was bent back at an acute angle and Bennigsen's army was in danger of collapse. A Prussian corps belatedly arrived and saved the day by pushing back the French right wing. As darkness fell, a French corps tardily appeared on the French left flank. That night Bennigsen decided to retreat, leaving Napoleon in possession of a snowy battlefield covered with thousands of corpses and many more wounded.",54.4,20.6333
